mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,location_bucket,time_bucket_length,model,param_degree,param_gamma
1.1955313682556152,0.021982002177310167,0.17225022315979005,0.01093090277866133,0.1,0.1,"{'C': 0.1, 'epsilon': 0.1}",-2435.798737612802,-2477.138606060814,-2899.1768474715022,-2775.698457032899,-2929.9824266838755,-2703.5590149723785,208.662293942576,20,h3_07,1,SVR_linear,,
1.2123123168945313,0.017107636720230673,0.16560287475585939,0.006043241917898699,0.1,0.2,"{'C': 0.1, 'epsilon': 0.2}",-2435.0596164634417,-2477.2990540863657,-2900.424150883302,-2776.187792534508,-2928.558585799316,-2703.5058399533864,208.7779254143452,19,h3_07,1,SVR_linear,,
1.159881591796875,0.03887170663170347,0.152434778213501,0.005850267086334216,0.1,0.3,"{'C': 0.1, 'epsilon': 0.3}",-2435.0392160336855,-2478.18617447937,-2901.201697330165,-2774.8305191751606,-2928.1843047203506,-2703.4883823477467,208.56392435145315,18,h3_07,1,SVR_linear,,
1.1246874332427979,0.014561948908151042,0.16428356170654296,0.012033886657885419,0.1,0.4,"{'C': 0.1, 'epsilon': 0.4}",-2434.0452208452775,-2477.8748334421825,-2901.0911646319205,-2774.35844759136,-2927.041831120532,-2702.8822995262544,208.5880266077435,17,h3_07,1,SVR_linear,,
1.1328372001647948,0.047351119987266106,0.15886278152465821,0.006158837424812909,0.1,0.5,"{'C': 0.1, 'epsilon': 0.5}",-2433.626702276445,-2475.9134998240916,-2899.6644140748012,-2773.5556879855885,-2927.3100927267424,-2702.0140793775336,208.85181658813562,16,h3_07,1,SVR_linear,,
1.442514133453369,0.09361224588737896,0.16764163970947266,0.010374904718110914,1,0.1,"{'C': 1, 'epsilon': 0.1}",-2417.951342706807,-2459.805841863863,-2884.204518080751,-2755.6567305440276,-2910.3638840316853,-2685.5964634454267,208.5614102360907,14,h3_07,1,SVR_linear,,
1.3451010227203368,0.024471814405787273,0.16823625564575195,0.009851466118418369,1,0.2,"{'C': 1, 'epsilon': 0.2}",-2418.9766152376164,-2459.037002768222,-2883.1587613530883,-2753.7986105584796,-2910.2237654212736,-2685.0389510677355,208.1122763312053,11,h3_07,1,SVR_linear,,
1.3180227756500245,0.06037144841885776,0.17219185829162598,0.007228165981862328,1,0.3,"{'C': 1, 'epsilon': 0.3}",-2418.5413647362566,-2458.870550157037,-2883.6572143624744,-2754.2568229298063,-2910.413887007147,-2685.1479678385444,208.42612106775437,12,h3_07,1,SVR_linear,,
1.3440233707427978,0.03299085970169288,0.16566987037658693,0.020126058511388628,1,0.4,"{'C': 1, 'epsilon': 0.4}",-2417.3767438888935,-2459.31906155723,-2883.3597927697515,-2754.8786089837445,-2911.1061955784267,-2685.2080805556093,208.7618335618097,13,h3_07,1,SVR_linear,,
1.2668913841247558,0.0517894267732296,0.16470370292663575,0.008585548374660436,1,0.5,"{'C': 1, 'epsilon': 0.5}",-2417.4983165947942,-2459.4062228175962,-2884.5460472152918,-2755.3888556239417,-2911.3346587177216,-2685.6348201938695,209.02070789125813,15,h3_07,1,SVR_linear,,
2.1715027332305907,0.09967299528103837,0.1575148582458496,0.005716690305741409,10,0.1,"{'C': 10, 'epsilon': 0.1}",-2416.6143765280935,-2457.6375056370093,-2881.7876402432594,-2753.4493197225092,-2909.2203708621055,-2683.741842598595,208.51958726299853,6,h3_07,1,SVR_linear,,
2.2185404777526854,0.1533551147654269,0.16400933265686035,0.010026724795136943,10,0.2,"{'C': 10, 'epsilon': 0.2}",-2417.010744512342,-2457.766116335243,-2881.3328182911437,-2752.947950094982,-2909.345842325754,-2683.6806943118927,208.29754320865595,3,h3_07,1,SVR_linear,,
2.2854897022247314,0.08048986739894254,0.16832199096679687,0.012578436652631099,10,0.3,"{'C': 10, 'epsilon': 0.3}",-2417.035928053077,-2457.4446349298373,-2882.182497326548,-2753.050353150773,-2909.3004184965275,-2683.8027663913526,208.51929730296848,8,h3_07,1,SVR_linear,,
